Name,Team,Position,Minutes Played,Goals,Assists,Shots,Shots On Target,Fouls Won,MAX
Palmer Bank,Stanford,Defender,1764,1,0,7,2,20,91
Alex Salvo,SMU,Midfielder,1867,0,0,6,2,22,91
Julien Le Bourdoulous,Kansas City,Midfielder,1607,1,11,40,10,44,91
Geni Kanyane,Dayton,Defender,1739,2,4,30,11,31,91
Mike Bleeker,Vermont,Defender,1644,0,2,9,4,8,91
Ransford Gyan,Clemson,Forward,1524,5,6,43,17,37,91
Dylan Akau,Denver,Defender,1660,1,4,12,5,13,91
Sekou Agard,Mercer,Defender,1618,5,0,14,6,6,91
Jack Muoio,Cal Poly,Defender,1656,0,3,2,0,10,91
Roc Carles,Hofstra,Midfielder,1753,2,4,20,8,43,91
Taimu Okiyoshi,Marshall,Midfielder,2021,0,5,10,2,18,91
Carson Hodgson,Western Mich.,Midfielder,1747,6,6,38,18,57,91
Pierce Infuso,Hofstra,Defender,1889,0,5,7,5,15,91
Jason Belloli,Denver,Defender,1717,1,1,6,2,9,91
Jonas Buechte,Akron,Defender,1800,1,2,5,1,13,91
Ian Smith,Denver,Forward,1817,2,10,21,10,13,91
Matt Fordham,Massachusetts,Defender,1919,1,2,6,2,22,91
Jack Sandmeyer,San Diego,Defender,1603,2,2,16,6,33,91
Cole Pond,UC Davis,Defender,1946,0,4,8,4,6,91
Miles Bonham,Dayton,Midfielder,1763,1,4,21,6,12,91
Abdel Talabi,Bryant,Defender,1649,0,1,12,2,15,91
Vasco Teixeira,Providence,Defender,1867,0,3,12,1,12,91
Dylan Hooper,Stanford,Defender,1780,1,1,8,1,21,91
Jansen Miller,Indiana,Defender,1799,1,4,14,3,64,91
Max Broughton,West Virginia,Defender,1785,0,1,12,4,19,91
Cole Dewhurst,Providence,Defender,1906,1,0,4,2,16,91
Quinton Elliot,Indiana,Defender,1848,3,3,11,8,22,91
Noah Adnan,Stanford,Defender,1832,4,1,19,7,13,91
Kenan Hot,Duke,Midfielder,1569,1,0,34,8,26,90
Charlie Harper,North Carolina,Defender,1636,1,0,11,7,18,90
Max Murray,Vermont,Forward,2019,4,4,18,8,13,90
Owen Walz,San Diego,Defender,1586,0,5,15,4,17,90
Ryan Wagner,Furman,Defender,1669,0,3,13,6,14,90
Sam Williams,North Carolina,Midfielder,1592,4,2,30,11,15,90
Yves Tcheuyap,NC State,Defender,1716,0,4,0,0,16,90
Woodi Pondeca,Mercer,Defender,1597,0,2,3,1,6,90
Matt Dreas,Akron,Midfielder,1723,1,1,14,2,28,90
Guilherme Feitosa,Pittsburgh,Midfielder,1611,3,9,37,14,28,90
Carson Hammond,UC Davis,Defender,1747,1,2,3,1,36,90
Leo Burney,Penn,Defender,1710,4,2,5,4,11,90
Niklas Sorensen,Pittsburgh,Defender,1633,0,1,2,1,6,90
Daniel Escorcia,SMU,Midfielder,1668,2,1,18,9,46,90
Jack Loura,UConn,Defender,1595,1,1,7,2,23,90
Enrique Garcia Barelles,James Madison,Defender,1596,0,1,5,1,7,90
Hans Leza,Houston Christian,Defender,1716,0,2,5,2,9,90
Wes Gibson,SIUE,Defender,1760,2,0,5,2,9,90
Noah James,Western Mich.,Midfielder,1654,7,5,40,15,19,90
Christian Shannon,Western Mich.,Defender,1738,3,3,13,7,22,90
Isaac Heffess,NC State,Defender,1751,1,0,5,2,16,90
Riley Thomas,North Carolina,Defender,1636,0,0,6,2,17,90
Theo Godard,Marshall,Midfielder,1818,0,2,5,1,23,90
Max Floriani,Saint Louis,Defender,1671,3,1,18,10,18,90
Matt Cence,Massachusetts,Midfielder,1811,1,7,46,19,14,90
Patrick Mcdonald,Indiana,Midfielder,1799,2,3,5,2,20,90
Landon Fisher,Western Mich.,Midfielder,1713,0,4,2,0,28,90
Caden Vom Steeg,UC Santa Barbara,Defender,1735,0,2,13,3,13,90
Connor Dawson,Penn,Defender,1704,2,0,7,5,9,90
Travis Smith Jr.,Wake Forest,Defender,1719,1,1,12,6,12,90
Andrew Czech,North Carolina,Midfielder,1603,0,6,17,4,20,90
Luca Nikolai,James Madison,Defender,1567,4,2,23,11,21,90
Ruben Mesalles,Duke,Midfielder,1603,1,2,16,4,16,90
Chris Meyers,Washington,Defender,1600,1,7,20,6,25,90
Matthew Acosta,North Carolina,Midfielder,1626,1,0,16,7,20,90
Mateo Maillefaud,Pittsburgh,Defender,1596,0,1,11,2,25,90
Mathias Winum,UC Irvine,Defender,1690,0,0,3,0,10,89
Ruben Flores-Thomas,San Jose St.,Defender,1729,0,2,5,3,27,89
Villads Landsperg,Wofford,Defender,1563,1,2,10,3,13,89
Ian Pilcher,Charlotte,Defender,1477,1,0,8,3,20,89
Arnau Vilamitjana,Pittsburgh,Midfielder,1480,5,3,27,10,28,89
Mathias Baucher,San Diego,Defender,1530,0,2,4,0,11,89
Casper Svendby,Pittsburgh,Defender,1517,3,4,15,7,13,89
Alex Matthews,Missouri St.,Midfielder,1588,0,2,7,5,31,89
Josh Erlandson,Bowling Green,Defender,1779,1,1,7,5,16,89
Emil Jaaskelainen,Akron,Forward,1702,23,7,92,45,52,89
Calle Mollerberg,UC Santa Barbara,Defender,1626,0,0,6,0,40,89
Tyler Caton,Missouri St.,Midfielder,1546,0,4,6,5,44,89
Will Reilly,Stanford,Midfielder,1788,3,5,21,8,51,89
Vusumzi Plamana,NC State,Midfielder,1711,2,1,8,4,19,89
Jack Wagner,Milwaukee,Defender,1710,1,0,6,3,18,89
Paul Wiese,Virginia,Defender,1603,0,10,7,1,10,89
Dyson Clapier,Akron,Midfielder,1579,5,8,52,23,22,89
Bjorn Nikolajewski,St. John's (NY),Defender,1668,0,1,9,4,14,89
